dq_result_id,run_id,table_name,check_name,status,metric_value,threshold,message,created_at_utc
dq:dde2773b34b3dfd5fde56d31,silver_speeches_20260614T075906Z,silver_speeches,dq_status_pass,pass,,pass,dq_status=pass,2026-06-14T08:00:19+00:00
dq:7d1644ca32bf8b1c09652280,silver_speeches_20260614T075906Z,silver_speeches,manifest_status_success,pass,,success,manifest status=success,2026-06-14T08:00:19+00:00
dq:e1f3cc92108a7058bab53d5f,silver_speeches_20260614T075906Z,silver_speeches,output_rows_gt_zero,pass,3987,>0,output rows from manifest,2026-06-14T08:00:19+00:00
dq:f45845a256bfe25c71615e8f,silver_speeches_20260614T075906Z,silver_speeches,primary_key_unique,pass,true,true,primary key uniqueness from manifest,2026-06-14T08:00:19+00:00
dq:7f6fe36f4d8da3cd26717b01,silver_speeches_20260612T053057Z,silver_speeches,dq_status_pass,pass,,pass,dq_status=pass,2026-06-14T08:00:19+00:00
dq:64f8daf55099e6d66e20c44b,silver_speeches_20260612T053057Z,silver_speeches,manifest_status_success,pass,,success,manifest status=success,2026-06-14T08:00:19+00:00
dq:21855c24d689872b3d2a5aa0,silver_speeches_20260612T053057Z,silver_speeches,output_rows_gt_zero,pass,357,>0,output rows from manifest,2026-06-14T08:00:19+00:00
dq:c7efac1b2b3d7e06a745d451,silver_speeches_20260612T053057Z,silver_speeches,primary_key_unique,pass,true,true,primary key uniqueness from manifest,2026-06-14T08:00:19+00:00
dq:b24a023fc7ce392fe9099e63,silver_speeches_20260609T165808Z,silver_speeches,dq_status_pass,pass,,pass,dq_status=pass,2026-06-14T08:00:19+00:00
dq:070e2556f7eeba50dfb307c0,silver_speeches_20260609T165808Z,silver_speeches,manifest_status_success,pass,,success,manifest status=success,2026-06-14T08:00:19+00:00
